Date,Open,High,Low,Close
10-Mar-12,11118.45,11235.55,11114.15,11190.1
12-Mar-12,11794,11893.85,11793.1,11886.15
13-Mar-12,10472.2,10606.35,10472.2,10561.9
14-Mar-12,10564.45,10694.4,10564.45,10667
15-Mar-12,10665.3,10680.15,10413,10457.55
16-Mar-12,10458.55,10568.6,10298.5,10324.5
19-Mar-12,10324.6,10361.75,10123.5,10172.5
20-Mar-12,10172.8,10289.9,10140.85,10262.85
21-Mar-12,10263.4,10500,10239.35,10483.85
22-Mar-12,10483.35,10570.7,10169.7,10195.45
23-Mar-12,10195.55,10344.25,10148.35,10297.85
26-Mar-12,10298.2,10301.55,10119.75,10145.6
27-Mar-12,10148.7,10281.5,10141.5,10213.7
28-Mar-12,10213.15,10213.15,10065,10100.15
29-Mar-12,10098.1,10180.85,10000.95,10165.65
30-Mar-12,10165.75,10468.95,10165.75,10450.2
1-Apr-12,8564.85,8634.15,8537.05,8589.15
4-Apr-12,10668.1,10678.8,10601.75,10650.65
5-Apr-12,10078.45,10083.25,9915.1,9948
6-Apr-12,9436.5,9436.5,9268.5,9389.85
7-Apr-12,10286.35,10350.35,10272.3,10335.15
9-Apr-12,9875.5,9985.35,9875.5,9976.6
10-Apr-12,11194.6,11347.9,11194.6,11279.65
12-Apr-12,11887.25,11974.25,11866.15,11944
13-Apr-12,10485.9,10601.8,10406.95,10418.25
16-Apr-12,10418.25,10499.25,10405.05,10476.75
17-Apr-12,10476.75,10575,10424.25,10565.85
18-Apr-12,10567.05,10680.95,10539.4,10549.2
19-Apr-12,10549.3,10614.2,10485.3,10518.65
20-Apr-12,10518.3,10549.45,10410.45,10458.9
23-Apr-12,10458.05,10515.9,10273.1,10293.1
24-Apr-12,10292.8,10323.95,10193.05,10245.3
25-Apr-12,10245.05,10299.65,10132.35,10214.75
26-Apr-12,10215.3,10257.7,10132.05,10149.85
27-Apr-12,10152.05,10230.15,10050.3,10103.3
30-Apr-12,10148.15,10245.05,10134.85,10226.25
1-May-12,8588.95,8641.35,8570.4,8607.8
3-May-12,10378.9,10378.9,10205.3,10233.55
6-May-12,9391.85,9481.75,9374.7,9407.65
7-May-12,10336.8,10407.95,10310.3,10395.45
9-May-12,9975.05,9975.05,9903.25,9914.15
10-May-12,11291.05,11353.9,11069.15,11221
11-May-12,11077.35,11105.35,11026.3,11064.4
12-May-12,11950.95,12017.2,11950.95,11966.45
14-May-12,9665.5,9715.3,9565.05,9622.75
15-May-12,9617.15,9674.9,9569,9659.6
16-May-12,9651.15,9651.15,9454.1,9495.45
17-May-12,9498,9641.45,9462.45,9496.75
18-May-12,9487.9,9505.65,9333.95,9477.55
21-May-12,9482.55,9611.35,9481,9555.6
22-May-12,9561.1,9648.35,9449,9463.7
23-May-12,9460.1,9460.1,9347.7,9388.45
24-May-12,9390.9,9478.65,9369.3,9462.15
25-May-12,9461.95,9541.45,9454.1,9519.15
28-May-12,9525.9,9657.95,9525.9,9648.9
29-May-12,9650.35,9683.5,9613,9631.95
30-May-12,9627.6,9627.6,9495.1,9507.85
31-May-12,9508.05,9586.1,9434.4,9563.15
1-Jun-12,8606.9,8606.9,8488.7,8560.5
2-Jun-12,10037.65,10293.35,10037.65,10236.65
3-Jun-12,10234,10436.7,10137.6,10159.65
6-Jun-12,9410.15,9627.75,9410.15,9605.7
7-Jun-12,10396.15,10412.65,10310.9,10334.65
8-Jun-12,10098.4,10221.25,10098.4,10152.9
9-Jun-12,9912.6,9990.2,9911.2,9960.65
11-Jun-12,11061.3,11106.55,11044.1,11095.5
12-Jun-12,11969.85,12078.9,11919.25,12061.2
13-Jun-12,9757.2,9853.4,9757.2,9775.05
14-Jun-12,9774.5,9796.05,9623.15,9634.9
15-Jun-12,9637.15,9737.25,9637.15,9721.7
18-Jun-12,9727.95,9826.9,9540.8,9576.3
19-Jun-12,9562.3,9617.1,9501.45,9604.45
20-Jun-12,9605.65,9709.4,9605.45,9697.6
21-Jun-12,9695.1,9804.75,9648.35,9799.7
22-Jun-12,9790.75,9806.65,9683.1,9780.7
25-Jun-12,9782.95,9897.85,9733.55,9747.7
26-Jun-12,9747.3,9831.85,9747.3,9824.75
27-Jun-12,9830.3,9884.5,9830.3,9862.15
28-Jun-12,9862.85,9901.2,9805.05,9885.15
29-Jun-12,9891.6,10118.4,9891.6,10099.55
1-Jul-12,8560.2,8600.4,8560.2,8593.45
2-Jul-12,10237.2,10308.2,10069.25,10093.75
3-Jul-12,10159.25,10178.9,10010.6,10101.05
5-Jul-12,9939.6,10084.45,9749.3,10061.25
6-Jul-12,9610.8,9710.85,9609.8,9691.1
8-Jul-12,10154.45,10236.1,10154.45,10194.9
9-Jul-12,9966.85,10078.75,9966.85,10057.9
11-Jul-12,11097.45,11259.55,11095.9,11229.45
12-Jul-12,12065.2,12117.25,11967.4,11999.35
13-Jul-12,10228.15,10277.35,10171.95,10185.95
16-Jul-12,10188.3,10222.85,10136.25,10160.85
17-Jul-12,10164.4,10225.75,10089,10109
18-Jul-12,10105.95,10116.35,10029.85,10105.6
19-Jul-12,10111.15,10191.9,10111.15,10125.4
20-Jul-12,10121.3,10135.6,10064.4,10123.55
23-Jul-12,10116.5,10116.5,9950.15,9979.8
24-Jul-12,9978.8,10045.1,9946.95,10035.9
25-Jul-12,10031.9,10031.9,9936.1,9975.25
26-Jul-12,9976.2,10006.4,9798.4,9813.45
27-Jul-12,9823.05,9968.55,9756.3,9783.8
30-Jul-12,9787.55,9990.15,9787.55,9978.4
31-Jul-12,9980.55,10043.45,9908.9,10028.55
2-Aug-12,10095.15,10262.5,10095.15,10221.75
5-Aug-12,10063.8,10134.05,9837.95,9883.4
6-Aug-12,9688.25,9744.2,9610.65,9732.5
8-Aug-12,10198,10254.25,10119.25,10139.05
9-Aug-12,10057.45,10118.5,10056.85,10107.85
10-Aug-12,11221.95,11280.95,11109.8,11136.6
11-Aug-12,11222.05,11249.6,11127.75,11239.95
13-Aug-12,10077.2,10214.65,10066.3,10202.8
14-Aug-12,10201.05,10247.05,10178.35,10234.8
16-Aug-12,10237.2,10282.55,10192.25,10207.1
17-Aug-12,10209.5,10288.45,10150,10190.55
21-Aug-12,10190.9,10224.1,10149.5,10217.55
22-Aug-12,10213.8,10230.75,10155.55,10167.15
23-Aug-12,10163.65,10218.75,10102.65,10131.7
24-Aug-12,10128.5,10128.5,10043.05,10101.7
27-Aug-12,10102.4,10127.85,9990.7,9997.2
28-Aug-12,9996.6,9998.3,9828.25,9915.35
29-Aug-12,9915.1,9945.3,9854.1,9876.8
30-Aug-12,9875.05,9921.5,9821.45,9898.4
31-Aug-12,9897.2,9953.7,9828.65,9892.15
1-Sep-12,8593.2,8641,8523.7,8626.85
2-Sep-12,10223.7,10345.55,10191.15,10331.15
3-Sep-12,10103.3,10386.85,10103.3,10364.6
4-Sep-12,10649,10649,10459.05,10479.95
5-Sep-12,9879.2,9898.6,9718.45,9735.4
7-Sep-12,10330.1,10330.1,10162.1,10218.95
8-Sep-12,10140.9,10200.1,10078,10102.7
10-Sep-12,11139.75,11250.9,11139.35,11204.2
11-Sep-12,11238.95,11321.1,11143.9,11158.95
13-Sep-12,10166.45,10203,10102.7,10117.2
14-Sep-12,10124.85,10275.75,10124.85,10210.7
17-Sep-12,10216.8,10375.75,10216.8,10363.15
18-Sep-12,10364,10518.7,10317.35,10502.4
20-Sep-12,10499.5,10545.2,10394.35,10488.5
21-Sep-12,10495.55,10708.85,10495.55,10672.6
24-Sep-12,10672.4,10852.6,10672.4,10738.55
25-Sep-12,10747,10836.6,10707.25,10795.35
26-Sep-12,10792.9,10851.65,10752.75,10799.8
27-Sep-12,10801.75,10912.85,10801.75,10884.75
28-Sep-12,10895.05,11073.75,10895.05,11042.75
1-Oct-12,8627.7,8867,8627.7,8848.15
2-Oct-12,10329.55,10471.65,10265.75,10357.4
4-Oct-12,10481.25,10546.2,10419.35,10492.4
5-Oct-12,9735.85,9870.45,9726.9,9754.45
7-Oct-12,10218.55,10325.05,10218.55,10320.4
8-Oct-12,10101.7,10110.65,10040.5,10077
9-Oct-12,10107.1,10164.45,10084.5,10152.1
10-Oct-12,11197.1,11197.1,11068.9,11081.05
12-Oct-12,12004.3,12062.05,12004.3,12046.55
15-Oct-12,11209.1,11235.75,11139.65,11161.25
16-Oct-12,11165.2,11232.85,11042.6,11060.95
17-Oct-12,11067.2,11129.15,11009.35,11073
18-Oct-12,11077.15,11180.3,11066.6,11174.85
19-Oct-12,11168.55,11184.2,11047.3,11108.85
22-Oct-12,11104.45,11127.4,11019.5,11124.65
23-Oct-12,11123.75,11154.45,11063.25,11078.8
25-Oct-12,11082.5,11104.7,11044.35,11075.6
26-Oct-12,11068.95,11100.55,10907.6,10934.15
29-Oct-12,10934.2,10967.65,10819.35,10865.85
30-Oct-12,10864.9,10926.35,10733.1,10778.65
31-Oct-12,10776.7,10907.85,10767,10898.45
1-Nov-12,8848.6,8969.2,8848.6,8947.55
4-Nov-12,10490.45,10515.5,10388.55,10421
5-Nov-12,9751.75,9751.75,9596.9,9663.8
6-Nov-12,9739.55,9843.85,9633.15,9668.3
7-Nov-12,10317.15,10346.65,10271.85,10283.3
9-Nov-12,10149,10168.6,10116.75,10160.45
10-Nov-12,11083.75,11226.65,11023.8,11208.45
12-Nov-12,12050.8,12117.7,11863.35,11988.3
13-Nov-12,11344.5,11384.95,11332.55,11347.8
15-Nov-12,11343.5,11394,11286,11365.65
16-Nov-12,11363.7,11440.2,11214.35,11241.6
19-Nov-12,11243.05,11280.95,11102.75,11127
20-Nov-12,11133.5,11219.7,11020.9,11075.5
21-Nov-12,11078.3,11137.15,11042.35,11128.2
22-Nov-12,11131.05,11213.4,11129.9,11205.5
23-Nov-12,11206.85,11266.2,11179.5,11253.75
26-Nov-12,11254.6,11439.15,11254.6,11413.6
27-Nov-12,11415.8,11606.4,11415.8,11596.95
29-Nov-12,11601,11726.9,11600.55,11713.3
30-Nov-12,11718.35,11805.25,11711.35,11790.6
1-Dec-12,8947.25,9052.35,8912.8,9030.55
3-Dec-12,10367.5,10525.9,10367.5,10470.6
4-Dec-12,10422.4,10547.05,10422.4,10484.7
6-Dec-12,9664.3,9773.2,9615.35,9755.45
7-Dec-12,10279.5,10279.5,10181.5,10226
9-Dec-12,10162.85,10219,10129.2,10167.3
10-Dec-12,11210.1,11315,11198.35,11210.2
11-Dec-12,11158.45,11362.75,11158.45,11342.65
12-Dec-12,11992.5,12039.75,11956.8,11999.2
13-Dec-12,12000.95,12057.1,11860.25,11887.85
14-Dec-12,11888,11988.05,11866.2,11977.2
17-Dec-12,11977.65,12053.55,11977.65,12042.9
18-Dec-12,12043,12214.65,11982.85,12208.5
19-Dec-12,12216.8,12318.7,12216.8,12296.25
20-Dec-12,12291.15,12335.45,12195.15,12310.35
21-Dec-12,12305.4,12305.4,12122.3,12146.55
24-Dec-12,12147.45,12209.8,12127.7,12163.2
26-Dec-12,12165.05,12257.5,12165.05,12228.4
27-Dec-12,12233,12309.5,12170.65,12185
28-Dec-12,12189.95,12298.55,12189.95,12278.4
31-Dec-12,12278.4,12348.8,12278.4,12340.05
1-Jan-13,12345.6,12507.7,12345.6,12491.25
2-Jan-13,12272.4,12381.75,12272.4,12304.55
3-Jan-13,11459.3,11612.75,11459.3,11560.95
4-Jan-13,11238.05,11352.65,11233.35,11328.45
7-Jan-13,11575.5,11905.55,11570.5,11891.85
8-Jan-13,11197.45,11315.85,10944.65,10983.2
10-Jan-13,11231.85,11295.85,11093.25,11289.95
11-Jan-13,12182.7,12326.1,12182.7,12291.8
14-Jan-13,12429.15,12628.15,12387.3,12610.25
15-Jan-13,12609.7,12679.65,12583.2,12647
16-Jan-13,12647.5,12682.5,12460.9,12475.35
17-Jan-13,12474.75,12545.05,12425.35,12488.4
18-Jan-13,12489.1,12528.9,12415.75,12437.4
21-Jan-13,12437.8,12505.3,12428.5,12466.65
22-Jan-13,12469.1,12526.7,12308.05,12339.65
23-Jan-13,12343.35,12401.25,12171.7,12285.75
24-Jan-13,12278.55,12296.9,12054.5,12074.9
25-Jan-13,12077.2,12276.5,12042.2,12266.5
28-Jan-13,12268.3,12344.3,12242.35,12283.7
29-Jan-13,12284.4,12348.55,12171.75,12190.3
30-Jan-13,12194.05,12273.2,12156.55,12174.95
31-Jan-13,12172.45,12291.8,12162.55,12270.55
1-Feb-13,12497.3,12624.9,12497.3,12570.75
4-Feb-13,11297.15,11507.95,11297.15,11489.95
5-Feb-13,12020.2,12254.3,12020.2,12223.3
7-Feb-13,11895.6,11964.85,11794.1,11808.05
8-Feb-13,11041.8,11071.75,10718.55,10837.5
9-Feb-13,10525.9,10671.2,10525.9,10650.65
12-Feb-13,12392.55,12490.35,12392.55,12453.65
13-Feb-13,12097.1,12179.8,11989.95,12010.95
14-Feb-13,12009.25,12029.7,11820.3,11844.4
15-Feb-13,11839.35,11892.55,11742.05,11871.35
18-Feb-13,11872.55,11944.05,11871.05,11922.9
19-Feb-13,11924.3,12053.7,11902.4,12033.75
20-Feb-13,12036.7,12089.05,12003.1,12016.05
21-Feb-13,12007.7,12007.7,11753.2,11765.8
22-Feb-13,11764.25,11867.9,11707.35,11807.3
25-Feb-13,11815.2,11890.7,11695.9,11743.7
26-Feb-13,11737.6,11738.85,11577.25,11595.5
27-Feb-13,11600.9,11769.7,11577.45,11729.25
28-Feb-13,11736.2,11845.15,11425.35,11457.75
1-Mar-13,12575.2,12658.2,12548.75,12635.35
4-Mar-13,11485.9,11550.55,11327.45,11356.9
5-Mar-13,12227.65,12265.45,12124.1,12193.4
6-Mar-13,12313.3,12422.3,12293.2,12370.85
7-Mar-13,11741.2,11754.65,11588.05,11613.3
9-Mar-13,10710.4,10723.7,10310.65,10333.05
10-Mar-13,11339.9,11522.35,11339.9,11487.95
11-Mar-13,12336.75,12384.4,12336.75,12376.5
12-Mar-13,12432.55,12511.9,12390.15,12409.6
13-Mar-13,11764.35,11764.35,11565.5,11585.5
14-Mar-13,11586.05,11703.4,11468.65,11696.55
15-Mar-13,11698.2,11808.3,11632.6,11641.65
18-Mar-13,11634.4,11668.75,11514.15,11635.65
19-Mar-13,11635.9,11678.35,11375.65,11398.75
20-Mar-13,11396.3,11416.4,11140.25,11175.4
21-Mar-13,11179.6,11306.1,11074.4,11094.8
22-Mar-13,11092.15,11152.35,11025.8,11091.15
25-Mar-13,11101.4,11229.6,10977.65,11022.85
26-Mar-13,11019.35,11057.75,10973.5,11041.55
28-Mar-13,11038.8,11241.05,10983.4,11222.8
1-Apr-13,12636.3,12649.35,12555.75,12624
